"Package","Phase","ProjectSetup","ContentMigration","NamingCleanup","Tests","Sample","Build","Notes"
"Muonroi.AspNetCore","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.AspNetCore.OpenApi","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Auth","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.AuthZ","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.BackgroundJobs.Abstractions","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.BackgroundJobs.Hangfire","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.BackgroundJobs.Quartz","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Bff","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.BuildingBlock.All","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Caching.Abstractions","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Caching.Memory","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Caching.Redis","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Core","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Core.Abstractions","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Data.Abstractions","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Data.Dapper","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Data.EntityFrameworkCore","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Governance","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Grpc","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Kubernetes","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Mediator","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Messaging.Abstractions","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Messaging.MassTransit","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Observability","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Resilience","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.RuleEngine.Abstractions","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.RuleEngine.CEP","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.RuleEngine.Core","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.RuleEngine.DecisionTable","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.RuleEngine.DecisionTable.Web","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.RuleEngine.NRules","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.RuleEngine.Runtime","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.RuleEngine.Testing","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Rules","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.ServiceDiscovery.Consul","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.SignalR","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Tenancy","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Tenancy.Abstractions","","Pending","Pending","Pending","Pending","Pending","Pending",""
"Muonroi.Tenancy.Core","","Pending","Pending","Pending","Pending","Pending","Pending",""
